Longitude	Latitude	Year	Month	Day	Mag	Hour	Minite	Second 
102.500000 24.000000 1970 1 7 3.300000 17 29 0.000000 
102.500000 24.000000 1970 1 7 3.200000 17 31 0.000000 
102.400000 24.100000 1970 1 7 4.000000 18 1 44.000000 
102.420000 24.130000 1970 1 7 4.300000 18 4 44.000000 
102.500000 24.000000 1970 1 7 3.900000 18 14 37.000000 
102.480000 24.270000 1970 1 7 3.200000 19 57 0.000000 
102.480000 24.270000 1970 1 7 3.200000 20 41 0.000000 
102.480000 24.270000 1970 1 7 3.400000 21 29 0.000000 
102.480000 24.270000 1970 1 7 3.200000 21 55 0.000000 
102.480000 24.270000 1970 1 7 3.100000 22 37 0.000000 
102.480000 24.270000 1970 1 7 3.100000 22 48 0.000000 
102.520000 24.220000 1970 1 8 4.000000 0 55 0.000000 
102.400000 24.080000 1970 1 8 3.500000 1 9 12.000000 
102.470000 24.180000 1970 1 8 3.200000 4 40 0.000000 
102.520000 24.080000 1970 1 8 3.800000 5 0 0.000000 
102.500000 24.080000 1970 1 8 3.200000 5 56 0.000000 
102.500000 24.080000 1970 1 8 3.200000 7 11 0.000000 
102.500000 24.080000 1970 1 8 3.200000 7 21 0.000000 
102.500000 24.080000 1970 1 8 3.200000 7 34 0.000000 
102.700000 24.170000 1970 1 8 3.700000 9 45 0.000000 
102.700000 24.170000 1970 1 8 3.200000 10 3 0.000000 
102.700000 24.170000 1970 1 8 3.500000 10 14 0.000000 
102.700000 24.170000 1970 1 8 3.200000 10 44 0.000000 
102.400000 24.200000 1970 1 8 4.700000 18 49 26.000000 
102.350000 24.320000 1970 1 8 3.900000 19 11 0.000000 
102.480000 24.180000 1970 1 8 3.100000 19 13 0.000000 
102.630000 24.020000 1970 1 8 3.400000 21 17 0.000000 
102.630000 24.020000 1970 1 8 3.300000 21 23 0.000000 
102.800000 24.030000 1970 1 9 3.200000 2 33 31.000000 
102.620000 24.180000 1970 1 9 3.800000 4 29 14.000000 
102.470000 24.150000 1970 1 9 3.500000 4 39 36.000000 
102.420000 24.150000 1970 1 9 3.700000 4 54 29.000000 
102.550000 24.000000 1970 1 9 3.300000 7 22 27.000000 
102.950000 24.050000 1970 1 9 3.800000 8 49 25.000000 
102.600000 24.130000 1970 1 9 3.800000 10 49 24.000000 
102.450000 24.080000 1970 1 9 3.000000 12 30 21.000000 
102.480000 24.130000 1970 1 9 3.500000 16 53 9.000000 
102.730000 24.000000 1970 1 9 3.500000 16 53 32.000000 
102.430000 24.050000 1970 1 9 4.000000 22 34 59.000000 
102.980000 24.030000 1970 1 10 3.200000 0 34 55.000000 
102.500000 24.050000 1970 1 10 3.000000 0 58 57.000000 
102.600000 24.150000 1970 1 10 3.400000 1 49 12.000000 
102.500000 24.120000 1970 1 10 3.200000 22 14 13.000000 
102.650000 24.030000 1970 1 11 3.300000 5 18 22.000000 
103.000000 24.200000 1970 1 11 3.000000 8 42 17.000000 
103.020000 24.200000 1970 1 11 3.500000 9 27 17.000000 
102.480000 24.030000 1970 1 11 3.100000 19 25 0.000000 
102.480000 24.030000 1970 1 11 3.200000 21 37 0.000000 
102.420000 24.050000 1970 1 11 3.200000 22 46 4.000000 
102.480000 24.120000 1970 1 12 3.100000 1 9 59.000000 
102.480000 24.100000 1970 1 12 3.000000 4 49 1.000000 
102.380000 24.150000 1970 1 12 3.300000 6 34 55.000000 
102.480000 24.120000 1970 1 12 3.500000 6 43 32.000000 
102.400000 24.230000 1970 1 12 3.500000 10 17 34.000000 
102.520000 24.050000 1970 1 12 3.000000 10 54 11.000000 
102.430000 24.150000 1970 1 12 3.200000 12 1 2.000000 
102.430000 24.150000 1970 1 12 3.100000 12 39 37.000000 
102.430000 24.150000 1970 1 12 3.700000 13 50 31.000000 
102.420000 24.080000 1970 1 12 3.100000 14 7 23.000000 
102.450000 24.080000 1970 1 12 3.100000 14 16 9.000000 
102.270000 24.120000 1970 1 12 3.000000 15 39 50.000000 
102.550000 24.120000 1970 1 12 3.700000 16 37 1.000000 
102.470000 24.120000 1970 1 12 3.600000 19 51 32.000000 
102.450000 24.150000 1970 1 12 3.000000 19 56 36.000000 
102.620000 24.050000 1970 1 12 3.200000 20 54 41.000000 
102.430000 24.120000 1970 1 12 3.500000 21 59 20.000000 
102.720000 24.020000 1970 1 12 3.100000 22 3 46.000000 
102.520000 24.080000 1970 1 12 3.500000 22 58 34.000000 
102.350000 24.220000 1970 1 12 3.300000 23 14 50.000000 
102.350000 24.220000 1970 1 12 3.000000 23 39 2.000000 
102.600000 24.030000 1970 1 12 3.300000 23 45 3.000000 
102.480000 24.170000 1970 1 13 3.500000 0 53 53.000000 
102.430000 24.020000 1970 1 13 3.100000 1 20 41.000000 
102.400000 24.270000 1970 1 13 3.100000 1 25 23.000000 
102.400000 24.050000 1970 1 13 3.600000 2 54 7.000000 
102.430000 24.020000 1970 1 13 3.600000 3 27 44.000000 
102.420000 24.030000 1970 1 13 3.200000 5 47 47.000000 
102.480000 24.170000 1970 1 13 3.100000 8 36 32.000000 
102.480000 24.020000 1970 1 13 3.300000 11 2 57.000000 
102.570000 24.120000 1970 1 13 3.200000 11 45 20.000000 
102.420000 24.030000 1970 1 13 3.600000 17 21 42.000000 
102.420000 24.070000 1970 1 13 3.000000 20 46 51.000000 
102.420000 24.000000 1970 1 13 3.300000 21 10 32.000000 
102.420000 24.050000 1970 1 13 3.000000 21 27 7.000000 
102.420000 24.020000 1970 1 13 3.800000 23 10 25.000000 
102.470000 24.030000 1970 1 13 3.400000 23 25 37.000000 
102.930000 24.020000 1970 1 13 3.400000 23 40 0.000000 
102.770000 24.020000 1970 1 14 3.500000 2 32 16.000000 
102.420000 24.130000 1970 1 14 3.400000 7 56 16.000000 
102.570000 24.130000 1970 1 14 3.500000 9 6 21.000000 
102.480000 24.050000 1970 1 14 3.100000 9 25 57.000000 
102.550000 24.080000 1970 1 14 3.200000 9 35 40.000000 
102.450000 24.100000 1970 1 14 3.400000 13 5 41.000000 
102.430000 24.150000 1970 1 14 3.400000 13 10 15.000000 
